REASON,YEAR,AUTHOR,TITLE,JOURNAL,ISSN,PAGES,ISSUE,VOL,Y/N,NOTES,
2,2015,"Genchi, Marco; Prati, Paola; Vicari, Nadia; Manfredini, Andrea; Sacchi, Luciano; Clementi, Emanuela; Bandi, Claudio; Epis, Sara; Fabbi, Massimo",Francisella tularensis: No Evidence for Transovarial Transmission in the Tularemia Tick Vectors Dermacentor reticulatus and Ixodes ricinus.,PLoS ONE,1932-6203,e0133593,8,10,Studies that did not meet inclusion criteria,,
2,2015,"Glenn, Richard A.; Taylor, Peter W.; Pelton, Eric H.; Gutenberger, Susan K.; Ahrens, Mark A.; Marchant, Larry M.; Hanson, Kyle C.",Genetic Evidence of Vertical Transmission and Cycling of Yersinia ruckeri in Hatchery-Origin Fall Chinook Salmon Oncorhynchus tshawytscha.,Journal of Fish and Wildlife,,44-54,1,6,Studies that did not meet inclusion criteria,,
2,2015,"Hu, Youjia; Peng, Jian; Tai, Ningwen; Hu, Changyun; Zhang, Xiaojun; Wong, F. Susan; Wen, Li",Maternal Antibiotic Treatment Protects Offspring from Diabetes Development in Nonobese Diabetic Mice by Generation of Tolerogenic APCs,Journal of Immunology,0022-1767,4176-4184,9,195,Studies that did not meet inclusion criteria,,
2,2015,"Kallio, Eva R.; Helle, Heikki; Koskela, Esa; Mappes, Tapio; Vapalahti, Olli",Age-related effects of chronic hantavirus infection on female host fecundity.,Journal of Animal Ecology,0021-8790,1264-1272,5,84,Studies that did not meet inclusion criteria,,
2,2015,"Kangassalo, K.; Valtonen, T. M.; Roff, D.; Polkki, M.; Dubovskiy, I. M.; Sorvari, J.; Rantala, M. J.","Intra- and trans-generational effects of larval diet on susceptibility to an entomopathogenic fungus, Beauveria bassiana, in the greater wax moth, Galleria mellonella.",Journal of Evolutionary Biology,1010-061X,1453-1464,8,28,Studies that did not meet inclusion criteria,,
2,2015,"Kennedy, Rebekah C. M.; Menn, Fu-Min; Healy, Laura; Fecteau, Kellie A.; Hu, Pan; Bae, Jiyoung; Gee, Nancy A.; Lasley, Bill L.; Zhao, Ling; Chen, Jiangang",Early Life Triclocarban Exposure During Lactation Affects Neonate Rat Survival,Reproductive Sciences,1933-7191,75-89,1,22,Studies that did not meet inclusion criteria,,
2,2015,"Kern, Peter; Cook, James M.; Kageyama, Daisuke; Riegler, Markus",Double trouble: combined action of meiotic drive and Wolbachia feminization in Eurema butterflies.,Biology Letters,1744-9561,20150095,5,11,Studies that did not meet inclusion criteria,,
2,2015,"Tate, Ann T.; Graham, Andrea L.",Trans-generational priming of resistance in wild flour beetles reflects the primed phenotypes of laboratory populations and is inhibited by co-infection with a common parasite.,Functional Ecology,0269-8463,1059-1069,8,29,Studies that did not meet inclusion criteria,,
2,2015,"Torow, Natalia; Yu, Kai; Hassani, Kasra; Freitag, Jenny; Schulz, Olga; Basic, Marijana; Brennecke, Anne; Sparwasser, Tim; Wagner, Norbert; Bleich, Andre; Lochner, Matthias; Weiss, Siegfried; Foerster, Reinhold; Pabst, Oliver; Hornef, Mathias W.",Active suppression of intestinal CD4(+)TCR alpha beta(+) T-lymphocyte maturation during the postnatal period,Nature Communications,2041-1723,7725,,6,Studies that did not meet inclusion criteria,,
2,2015,"Tsushima, Yusuke; Nakamura, Kayo; Tagami, Yohsuke; Miura, Kazuki",Mating rates and the prevalence of male-killing Spiroplasma in Harmonia axyridis (Coleoptera: Coccinellidae).,Entomological Science,1343-8786,217-220,2,18,Studies that did not meet inclusion criteria,,
2,2015,"Urban, Mark C.; Lewis, Louise A.; Fucikova, Karolina; Cordone, Alexis",Population of origin and environment interact to determine oomycete infections in spotted salamander populations.,Oikos,0030-1299,274-284,3,124,Studies that did not meet inclusion criteria,,
2,2015,"Wu, Qiuli; Cao, Xiou; Yan, Dong; Wang, Dayong; Aballay, Alejandro",Genetic Screen Reveals Link between the Maternal Effect Sterile Gene mes-1 and Pseudomonas aeruginosa-induced Neurodegeneration in Caenorhabditis elegans,Journal of Biological Chemistry,,29231-29239,49,290,Studies that did not meet inclusion criteria,,
3,2015,"Jacob, Staffan; Parthuisot, Nathalie; Vallat, Armelle; Ramon-Portugal, Felipe; Helfenstein, Fabrice; Heeb, Philipp","Microbiome affects egg carotenoid investment, nestling development and adult oxidative costs of reproduction in Great tits",Functional Ecology,2698463,1048-1058,8,29,Studies that did not meet inclusion criteria,,
3,2015,"Jasarevic, Eldin; Howerton, Christopher L.; Howard, Christopher D.; Bale, Tracy L.",Alterations in the Vaginal Microbiome by Maternal Stress Are Associated With Metabolic Reprogramming of the Offspring Gut and Brain,Endocrinology,0013-7227,3265-3276,9,156,Studies that did not meet inclusion criteria,used qPCR of 16S gene,
3,2015,"Knorr, Eileen; Schmidtberg, Henrike; Arslan, Derya; Bingsohn, Linda; Vilcinskas, Andreas",Translocation of bacteria from the gut to the eggs triggers maternal transgenerational immune priming in Tribolium castaneum,Biology Letters,1744-9561,20150885,12,11,Studies that did not meet inclusion criteria,,
4,2015,"Grizard, Stéphanie; Versteegh, Maaike A.; Ndithia, Henry K.; Salles, Joana F.; Tieleman, B. Irene",Shifts in Bacterial Communities of Eggshells and Antimicrobial Activities in Eggs during Incubation in a Ground-Nesting Passerine,PLOS ONE,1932-6203,e0121716,4,10,Studies that did not meet inclusion criteria,,
4,2015,"Diouf, Michel; Roy, Virginie; Mora, Philippe; Frechault, Sophie; Lefebvre, Thomas; Herve, Vincent; Rouland-Lefevre, Corinne; Miambi, Edouard","Profiling the Succession of Bacterial Communities throughout the Life Stages of a Higher Termite Nasutitermes arborum (Termitidae, Nasutitermitinae) Using 16S rRNA Gene Pyrosequencing",Plos One,1932-6203,e0140014,10,10,Studies that did not meet inclusion criteria,,
4,2015,"Wong, Adam C.-N.; Luo, Yuan; Jing, Xiangfeng; Franzenburg, Soeren; Bost, Alyssa; Douglas, Angela E.",The Host as the Driver of the Microbiota in the Gut and External Environment of Drosophila melanogaster,Applied and Environmental Microbiology,0099-2240,6232-6240,18,81,Studies that did not meet inclusion criteria,"Sampled eggs, environmnet, and adults from eggs but not parents",
1,2016,"Scholl, Jessica; Nasioudis, Dimitrios; Boester, Allison; Speleotes, Maureen; Grunebaum, Amos; Witkin, Steven S.",Group B streptococcus alters properties of vaginal epithelial cells in pregnant women,American Journal of Obstetrics and Gynecology,0002-9378,383.e1-e5,3,214,Studies that did not meet inclusion criteria,,
1,2016,"Stepan, Martin; Cobo, Teresa; Maly, Jan; Navratilova, Martina; Musilova, Ivana; Hornychova, Helena; Jacobsson, Bo; Kacerovsky, Marian",Neonatal outcomes in subgroups of women with preterm prelabor rupture of membranes before 34 weeks,Journal of Maternal-Fetal & Neonatal Medicine,1476-7058,2373-2377,14,29,Studies that did not meet inclusion criteria,,
1,2016,"Bratila, Elvira; Comandasu, Diana; Ionescu, Crangu; Cirstoiu, Monica Mihaela; Berceanu, Costin; Mehedintu, Claudia; Vladareanu, Simona",Asymptomatic Cervical Bacterial Colonization's Influence in third Trimester of Pregnancy,Romanian Biotechnological Letters,1224-5984,12097-12102,6,21,Studies that did not meet inclusion criteria,,
1,2016,"Cernada, Maria; Baeuerl, Christine; Serna, Eva; Carmen Collado, Maria; Perez Martinez, Gaspar; Vento, Maximo",Sepsis in preterm infants causes alterations in mucosal gene expression and microbiota profiles compared to non-septic twins,Scientific Reports,2045-2322,25497,,6,Studies that did not meet inclusion criteria,,
1,2016,"Kunze, Mirjam; Klar, Maximilian; Morfeld, Christine A.; Thorns, Beena; Schild, Ralf L.; Markfeld-Erol, Filiz; Rasenack, Regina; Proempeler, Heinrich; Hentschel, Roland; Schaefer, Wolfgang R.",Cytokines in noninvasively obtained amniotic fluid as predictors of fetal inflammatory response syndrome,American Journal of Obstetrics and Gynecology,0002-9378,96.e1-e8,1,215,Studies that did not meet inclusion criteria,,
1,2016,"Aloisio, Irene; Quagliariello, Andrea; De Fanti, Sara; Luiselli, Donata; De Filippo, Carlotta; Albanese, Davide; Corvaglia, Luigi Tommaso; Faldella, Giacomo; Di Gioia, Diana",Evaluation of the effects of intrapartum antibiotic prophylaxis on newborn intestinal microbiota using a sequencing approach targeted to multi hypervariable 16S rDNA regions,Applied Microbiology and Biotechnology,0175-7598,5537-5546,12,100,Studies that did not meet inclusion criteria,,
1,2016,"Bernstein, Charles N.; Banerjee, Ankona; Targownik, Laura E.; Singh, Harminder; Ghia, Jean Eric; Burchill, Charles; Chateau, Dan; Roos, Leslie L.",Cesarean Section Delivery Is Not a Risk Factor for Development of Inflammatory Bowel Disease: A Population-based Analysis,Clinical Gastroenterology and Hepatology,1542-3565,50-57,1,14,Studies that did not meet inclusion criteria,,
1,2016,"Nosalewicz, Artur; Siecinska, Joanna; Smiech, Magdalena; Nosalewicz, Magdalena; Wiacek, Dariusz; Pecio, Alicja; Wach, Damian",Transgenerational effects of temporal drought stress on spring barley morphology and functioning,Environmental and Experimental Botany,0098-8472,120-127,,131,Studies that did not meet inclusion criteria,,
1,2016,"Prince, Amanda L.; Ma, Jun; Kannan, Paranthaman S.; Alvarez, Manuel; Gisslen, Tate; Harris, Alan; Sweeney, Emma L.; Knox, Christine L.; Lambers, Donna S.; Jobe, Alan H.; Chougnet, Claire A.; Kallapur, Suhas G.; Aagaard, Kjersti M.",The placental membrane microbiome is altered among subjects with spontaneous preterm birth with and without chorioamnionitis,American Journal of Obstetrics and Gynecology,0002-9378,627.e1-e16,5,214,Studies that did not meet inclusion criteria,,
1,2016,"Romero, Roberto; Chaemsaithong, Piya; Docheva, Nikolina; Korzeniewski, Steven J.; Tarca, Adi L.; Bhatti, Gaurav; Xu, Zhonghui; Kusanovic, Juan P.; Chaiyasit, Noppadol; Dong, Zhong; Yoon, Bo Hyun; Hassan, Sonia S.; Chaiworapongsa, Tinnakorn; Yeo, Lami; Kim, Yeon Mee",Clinical chorioamnionitis at term V: umbilical cord plasma cytokine profile in the context of a systemic maternal inflammatory response,Journal of Perinatal Medicine,0300-5577,53-76,1,44,Studies that did not meet inclusion criteria,,
1,2016,"Romero, Roberto; Chaemsaithong, Piya; Korzeniewski, Steven J.; Kusanovic, Juan P.; Docheva, Nikolina; Martinez-Varea, Alicia; Ahmed, Ahmed I.; Yoon, Bo Hyun; Hassan, Sonia S.; Chaiworapongsa, Tinnakorn; Yeo, Lami",Clinical chorioamnionitis at term III: how well do clinical criteria perform in the identification of proven intra-amniotic infection?,Journal of Perinatal Medicine,0300-5577,23-32,1,44,Studies that did not meet inclusion criteria,,
1,2016,"Sharma, Deepak; Kumar, Chetan; Pandita, Aakash; Pratap, Oleti Tejo; Dasi, Teena; Murki, Srinivas",Bacteriological profile and clinical predictors of ESBL neonatal sepsis,Journal of Maternal-Fetal & Neonatal Medicine,1476-7058,567-570,4,29,Studies that did not meet inclusion criteria,,
1,2016,"Son, Moeun; Grobman, William A.; Miller, Emily S.",Is mode of delivery associated with the risk of necrotizing enterocolitis?,American Journal of Obstetrics and Gynecology,0002-9378,389.e1-e4,3,215,Studies that did not meet inclusion criteria,,
1,2016,"Zimmerman, K. C. K.; Levitis, D. A.; Pringle, A.",Beyond animals and plants: dynamic maternal effects in the fungus Neurospora crassa,Journal of Evolutionary Biology,1010-061X,1379-1393,7,29,Studies that did not meet inclusion criteria,,
2,2016,"de Agueero, Mercedes Gomez; Ganal-Vonarburg, Stephanie C.; Fuhrer, Tobias; Rupp, Sandra; Uchimura, Yasuhiro; Li, Hai; Steinert, Anna; Heikenwalder, Mathias; Hapfelmeier, Siegfried; Sauer, Uwe; McCoy, Kathy D.; Macpherson, Andrew J.",The maternal microbiota drives early postnatal innate immune development,Science,0036-8075,1296-1301,6279,351,Studies that did not meet inclusion criteria,Did not collect microbime samples (only did RNA-seq on tissues),
2,2016,"Hartley, Matt; Stanley, Christina R.",Survey of reproduction and calf rearing in Asian and African elephants in European zoos.,Journal of Zoo and Aquarium Research,2214-7594; 2214-7594,139-146,3,4,Studies that did not meet inclusion criteria,,
2,2016,"Xu, Yao; Buss, Eileen A.; Boucias, Drion G.",Impacts of Antibiotic and Bacteriophage Treatments on the Gut-Symbiont-Associated Blissus insularis (Hemiptera: Blissidae),Insects,,61,4,7,Studies that did not meet inclusion criteria,,
2,2016,"Arenas-Hernandez, Marcia; Romero, Roberto; St Louis, Derek; Hassan, Sonia S.; Kaye, Emily B.; Gomez-Lopez, Nardhy",An imbalance between innate and adaptive immune cells at the maternal-fetal interface occurs prior to endotoxin-induced preterm birth,Cellular & Molecular Immunology,1672-7681,462-473,4,13,Studies that did not meet inclusion criteria,,
2,2016,"Axford, Jason K.; Ross, Perran A.; Yeap, Heng Lin; Callahan, Ashley G.; Hoffmann, Ary A.",Fitness of wAlbB Wolbachia Infection in Aedes aegypti: Parameter Estimates in an Outcrossed Background and Potential for Population Invasion.,American Journal of Tropical Medicine and Hygiene,0002-9637; 1476-1645,507-516,3,94,Studies that did not meet inclusion criteria,,
2,2016,"Beemelmanns, Anne; Roth, Olivia",Biparental immune priming in the pipefish Syngnathus typhle.,Zoology (Jena),0944-2006,262-272,4,119,Studies that did not meet inclusion criteria,,
2,2016,"Beemelmanns, Anne; Roth, Olivia",Bacteria-type-specific biparental immune priming in the pipefish Syngnathus typhle.,Ecology and Evolution,2045-7758,6735-6757,18,6,Studies that did not meet inclusion criteria,,
2,2016,"Greiman, Stephen E.; Rikihisa, Yasuko; Cain, Jacob; Vaughan, Jefferson A.; Tkach, Vasyl V.",Germs within Worms: Localization of Neorickettsia sp within Life Cycle Stages of the Digenean Plagiorchis elegans.,Applied and Environmental Microbiology,0099-2240,2356-2362,8,82,Studies that did not meet inclusion criteria,,
2,2016,"Greiman, Stephen E.; Tkach, Vasyl V.",The numbers game: quantitative analysis of Neorickettsia sp propagation through complex life cycle of its digenean host using realtime qPCR.,Parasitology Research,0932-0113,2779-2788,7,115,Studies that did not meet inclusion criteria,,
2,2016,"Harris, R. Alan; Alcott, Callison E.; Sullivan, Elinor L.; Takahashi, Diana; McCurdy, Carrie E.; Comstock, Sarah; Baquero, Karalee; Blundell, Peter; Frias, Antonio E.; Kahr, Maike; Suter, Melissa; Wesolowski, Stephanie; Friedman, Jacob E.; Grove, Kevin L.; Aagaard, Kjersti M.",Genomic Variants Associated with Resistance to High Fat Diet Induced Obesity in a Primate Model,Scientific Reports,2045-2322,36123,,6,Studies that did not meet inclusion criteria,,
2,2016,"Landvik, Matti; Niemela, Pekka; Roslin, Tomas",Mother knows the best mould: an essential role for non-wood dietary components in the life cycle of a saproxylic scarab beetle.,Oecologia (Berlin),0029-8549,163-175,1,182,Studies that did not meet inclusion criteria,,
2,2016,"Lepetit, David; Gillet, Benjamin; Hughes, Sandrine; Kraaijeveld, Ken; Varaldi, Julien",Genome Sequencing of the Behavior Manipulating Virus LbFV Reveals a Possible New Virus Family.,Genome Biology and Evolution,1759-6653,3718-3739,12,8,Studies that did not meet inclusion criteria,,
2,2016,"Manfredini, Fabio; Shoemaker, DeWayne; Grozinger, Christina M.",Dynamic changes in host-virus interactions associated with colony founding and social environment in fire ant queens (Solenopsis invicta).,Ecology and Evolution,2045-7758,233-244,1,6,Studies that did not meet inclusion criteria,,
2,2016,"Martinez, Julien; Lepetit, David; Ravallec, Marc; Fleury, Frederic; Varaldi, Julien","Additional heritable virus in the parasitic wasp Leptopilina boulardi: prevalence, transmission and phenotypic effects.",Journal of General Virology,0022-1317,523-535,2,97,Studies that did not meet inclusion criteria,,
2,2016,"Michel, Jessica; Ebert, Dieter; Hall, Matthew D.",The trans-generational impact of population density signals on host-parasite interactions.,BMC Evolutionary Biology,1471-2148,254,,16,Studies that did not meet inclusion criteria,,
2,2016,"Pathirana, Anjalika; Diao, Mingyue; Huang, Shibo; Zuo, Lingling; Liang, Yujun",Alpha 2 macroglobulin is a maternally-derived immune factor in amphioxus embryos: New evidence for defense roles of maternal immune components in invertebrate chordate,Fish & Shellfish Immunology,1050-4648,21-26,,50,Studies that did not meet inclusion criteria,,
2,2016,"Rizvi, Syed Z. M.; Raman, Anantanarayanan; Wheatley, Warwick M.; Cook, Geoffrey",Oviposition preference and larval performance of Epiphyas postvittana (Lepidoptera: Tortricidae) on Botrytis cinerea (Helotiales: Sclerotiniaceae) infected berries of Vitis vinifera (Vitales: Vitaceae),Insect Science,1672-9609,313-325,2,23,Studies that did not meet inclusion criteria,,
2,2016,"Sanmartin, Monserrat Lopez; Power, Deborah M.; de la Herran, Roberto; Navas, Jose I.; Batista, Frederico M.",Evidence of vertical transmission of ostreid herpesvirus 1 in the Portuguese oyster Crassostrea angulata.,Journal of Invertebrate Pathology,0022-2011,39-41,,140,Studies that did not meet inclusion criteria,,
2,2016,"Senapin, Saengchan; Dong, Ha Thanh; Meemetta, Watcharachai; Siriphongphaew, Akasit; Charoensapsri, Walaiporn; Santimanawong, Wanida; Turner, Warren A.; Rodkhum, Channarong; Withyachumnarnkul, Boonsirm; Vanichviriyakit, Rapeepun",Hahella chejuensis is the etiological agent of a novel red egg disease in tilapia (Oreochromis spp.) hatcheries in Thailand.,Aquaculture,0044-8486,1-7,,454,Studies that did not meet inclusion criteria,,
